"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"29-Mar-2022","EQ","1,344.00","1,346.15","1,327.00","1,338.95","1,332.00","1,334.65","1,335.58","1,534.50","777.90",4320237,"5,770,018,655.25",94177
"28-Mar-2022","EQ","1,340.00","1,355.00","1,327.60","1,338.95","1,339.30","1,338.95","1,341.72","1,534.50","777.90",4655491,"6,246,355,569.25",139045
"25-Mar-2022","EQ","1,354.90","1,366.00","1,333.55","1,350.55","1,336.00","1,338.95","1,350.11","1,534.50","688.35",6945744,"9,377,535,055.20",153608
"24-Mar-2022","EQ","1,330.95","1,359.50","1,325.95","1,331.00","1,346.95","1,350.55","1,348.57","1,534.50","688.35",9460527,"12,758,222,562.20",208902
"23-Mar-2022","EQ","1,324.00","1,347.80","1,292.35","1,302.00","1,328.55","1,331.00","1,321.71","1,534.50","688.35",13055238,"17,255,295,796.55",259263
"22-Mar-2022","EQ","1,320.00","1,330.00","1,288.05","1,302.95","1,308.00","1,302.00","1,308.02","1,534.50","688.35",8179588,"10,699,083,341.20",179422
"21-Mar-2022","EQ","1,308.00","1,334.00","1,294.50","1,303.45","1,296.00","1,302.95","1,318.78","1,534.50","688.35",8422763,"11,107,780,248.70",183002
"17-Mar-2022","EQ","1,275.00","1,317.80","1,271.10","1,265.25","1,300.05","1,303.45","1,297.78","1,534.50","681.25",10623976,"13,787,547,257.25",211990
"16-Mar-2022","EQ","1,245.00","1,271.20","1,240.20","1,233.75","1,262.00","1,265.25","1,258.54","1,534.50","681.25",6302451,"7,931,873,085.60",162595
"15-Mar-2022","EQ","1,291.80","1,293.00","1,228.00","1,297.00","1,229.05","1,233.75","1,251.97","1,534.50","681.25",9614313,"12,036,820,173.55",289968
"14-Mar-2022","EQ","1,305.00","1,311.70","1,277.70","1,301.70","1,298.60","1,297.00","1,293.34","1,534.50","681.25",5278082,"6,826,343,839.50",155247
"11-Mar-2022","EQ","1,315.00","1,339.90","1,296.20","1,308.70","1,298.50","1,301.70","1,316.20","1,534.50","681.25",11882299,"15,639,524,482.95",283313
"10-Mar-2022","EQ","1,257.85","1,313.80","1,241.00","1,255.35","1,309.35","1,308.70","1,280.13","1,534.50","681.25",13674062,"17,504,564,980.75",288992
"09-Mar-2022","EQ","1,273.90","1,276.80","1,248.60","1,269.50","1,255.55","1,255.35","1,260.29","1,534.50","681.25",6934888,"8,739,970,128.45",180250
"08-Mar-2022","EQ","1,293.00","1,294.00","1,244.00","1,291.90","1,265.90","1,269.50","1,263.11","1,534.50","681.25",9107822,"11,504,186,252.60",248719
"07-Mar-2022","EQ","1,275.90","1,301.80","1,264.00","1,277.10","1,293.00","1,291.90","1,279.85","1,534.50","681.25",11040001,"14,129,580,242.05",289960
"04-Mar-2022","EQ","1,302.40","1,319.85","1,273.00","1,303.30","1,277.00","1,277.10","1,297.98","1,534.50","681.25",16282923,"21,134,984,241.95",498851
"03-Mar-2022","EQ","1,306.00","1,328.65","1,293.65","1,289.35","1,303.00","1,303.30","1,309.97","1,534.50","681.25",17450338,"22,859,407,692.45",528049
"02-Mar-2022","EQ","1,220.75","1,299.60","1,218.55","1,220.75","1,288.75","1,289.35","1,280.64","1,534.50","681.25",24847532,"31,820,691,227.60",612717
"28-Feb-2022","EQ","1,134.00","1,225.00","1,129.20","1,145.35","1,217.90","1,220.75","1,196.83","1,534.50","681.25",17605446,"21,070,773,518.25",408543
"25-Feb-2022","EQ","1,097.70","1,150.70","1,095.60","1,074.00","1,144.95","1,145.35","1,136.16","1,534.50","670.85",9212886,"10,467,347,648.45",226899
"24-Feb-2022","EQ","1,094.00","1,119.95","1,067.10","1,139.00","1,079.00","1,074.00","1,095.75","1,534.50","670.85",12126867,"13,288,073,810.50",324643
"23-Feb-2022","EQ","1,148.00","1,152.60","1,134.00","1,138.70","1,137.90","1,139.00","1,143.60","1,534.50","670.85",4960838,"5,673,217,190.30",129498
"22-Feb-2022","EQ","1,158.00","1,166.65","1,119.25","1,181.85","1,134.00","1,138.70","1,141.03","1,534.50","670.85",9385857,"10,709,565,886.60",222627
"21-Feb-2022","EQ","1,188.00","1,202.00","1,174.40","1,190.80","1,181.00","1,181.85","1,188.32","1,534.50","670.85",4978732,"5,916,328,122.20",117333
"18-Feb-2022","EQ","1,187.00","1,205.00","1,183.00","1,190.95","1,191.00","1,190.80","1,196.74","1,534.50","655.95",4725120,"5,654,746,883.90",119821
"17-Feb-2022","EQ","1,201.10","1,209.50","1,186.15","1,191.80","1,190.00","1,190.95","1,197.29","1,534.50","655.95",5655792,"6,771,643,720.60",117118
"16-Feb-2022","EQ","1,215.00","1,217.90","1,186.50","1,207.75","1,187.95","1,191.80","1,199.11","1,534.50","655.95",6609214,"7,925,141,990.10",171088
"15-Feb-2022","EQ","1,196.85","1,212.00","1,151.55","1,186.85","1,204.95","1,207.75","1,179.18","1,534.50","655.95",10188921,"12,014,582,504.45",238309
"14-Feb-2022","EQ","1,220.10","1,227.75","1,180.10","1,254.45","1,183.25","1,186.85","1,202.85","1,534.50","655.95",8021613,"9,648,820,655.15",211234
"11-Feb-2022","EQ","1,239.00","1,264.95","1,233.10","1,248.35","1,251.80","1,254.45","1,252.44","1,534.50","655.95",9676226,"12,118,883,254.80",211755
"10-Feb-2022","EQ","1,230.00","1,254.25","1,226.00","1,222.35","1,247.30","1,248.35","1,244.12","1,534.50","655.95",9392057,"11,684,809,977.10",222188
"09-Feb-2022","EQ","1,231.00","1,234.00","1,208.15","1,219.60","1,218.00","1,222.35","1,219.80","1,534.50","655.95",7352060,"8,968,009,893.95",167342
"08-Feb-2022","EQ","1,195.00","1,222.40","1,171.50","1,183.00","1,219.50","1,219.60","1,202.55","1,534.50","655.95",14083984,"16,936,657,066.70",316614
"07-Feb-2022","EQ","1,168.30","1,214.60","1,161.00","1,176.30","1,184.95","1,183.00","1,194.31","1,534.50","655.95",14510525,"17,330,102,163.95",321698
"04-Feb-2022","EQ","1,173.80","1,197.75","1,170.25","1,166.60","1,174.40","1,176.30","1,184.03","1,534.50","597.45",9317418,"11,032,097,305.30",212738
"03-Feb-2022","EQ","1,153.00","1,181.70","1,146.30","1,167.50","1,163.00","1,166.60","1,169.68","1,534.50","597.45",6514090,"7,619,418,043.55",151104
"02-Feb-2022","EQ","1,179.90","1,179.90","1,158.30","1,167.35","1,168.00","1,167.50","1,166.61","1,534.50","597.45",7524734,"8,778,450,173.45",178662
"01-Feb-2022","EQ","1,104.90","1,174.45","1,086.40","1,085.55","1,166.55","1,167.35","1,134.27","1,534.50","597.45",17075268,"19,367,952,076.85",364400
"31-Jan-2022","EQ","1,109.90","1,114.60","1,080.50","1,084.65","1,085.00","1,085.55","1,096.19","1,534.50","597.45",5570939,"6,106,808,797.40",172294
"28-Jan-2022","EQ","1,105.85","1,125.75","1,080.95","1,088.35","1,086.00","1,084.65","1,108.99","1,534.50","596.00",7864893,"8,722,067,779.45",192376
"27-Jan-2022","EQ","1,090.00","1,103.45","1,061.30","1,109.10","1,090.65","1,088.35","1,082.03","1,534.50","596.00",9056656,"9,799,578,271.55",271554
"25-Jan-2022","EQ","1,094.70","1,121.00","1,087.05","1,099.20","1,105.95","1,109.10","1,107.84","1,534.50","596.00",5733063,"6,351,334,528.60",206703
"24-Jan-2022","EQ","1,160.00","1,163.65","1,090.00","1,169.70","1,100.50","1,099.20","1,121.02","1,534.50","596.00",8392076,"9,407,699,634.20",279320
"21-Jan-2022","EQ","1,200.00","1,204.30","1,156.35","1,206.70","1,169.10","1,169.70","1,177.49","1,534.50","596.00",7166267,"8,438,184,184.45",170921
"20-Jan-2022","EQ","1,210.10","1,224.00","1,197.00","1,209.60","1,209.90","1,206.70","1,212.03","1,534.50","596.00",5920597,"7,175,912,863.90",159207
"19-Jan-2022","EQ","1,196.00","1,220.90","1,183.00","1,194.85","1,208.00","1,209.60","1,204.89","1,534.50","596.00",7304321,"8,800,884,092.50",186907
"18-Jan-2022","EQ","1,230.00","1,233.75","1,190.00","1,229.75","1,196.95","1,194.85","1,209.80","1,534.50","596.00",5840897,"7,066,337,357.80",150353
"17-Jan-2022","EQ","1,215.00","1,245.00","1,190.35","1,213.60","1,230.80","1,229.75","1,221.77","1,534.50","596.00",8969607,"10,958,788,425.80",202840
"14-Jan-2022","EQ","1,213.00","1,226.30","1,206.10","1,221.15","1,211.00","1,213.60","1,215.42","1,534.50","596.00",5267907,"6,402,740,872.75",162565
"13-Jan-2022","EQ","1,154.00","1,225.50","1,152.15","1,147.20","1,219.00","1,221.15","1,200.08","1,534.50","596.00",15723116,"18,868,961,106.25",350847
"12-Jan-2022","EQ","1,139.85","1,150.80","1,132.40","1,130.25","1,147.80","1,147.20","1,142.13","1,534.50","596.00",5035843,"5,751,572,117.00",139132
"11-Jan-2022","EQ","1,158.65","1,162.70","1,113.00","1,169.05","1,134.90","1,130.25","1,137.02","1,534.50","596.00",9697885,"11,026,712,678.50",245197
"10-Jan-2022","EQ","1,165.00","1,173.40","1,153.85","1,160.35","1,168.00","1,169.05","1,165.95","1,534.50","596.00",3822500,"4,456,832,468.05",124004
"07-Jan-2022","EQ","1,165.20","1,174.00","1,147.85","1,163.25","1,158.15","1,160.35","1,160.62","1,534.50","596.00",3973857,"4,612,154,157.25",87679
"06-Jan-2022","EQ","1,172.00","1,183.00","1,155.55","1,177.60","1,161.50","1,163.25","1,166.83","1,534.50","596.00",5335400,"6,225,489,082.45",133187
"05-Jan-2022","EQ","1,147.00","1,180.80","1,141.25","1,148.80","1,176.00","1,177.60","1,166.60","1,534.50","596.00",6186176,"7,216,800,113.20",134032
"04-Jan-2022","EQ","1,153.00","1,159.70","1,136.50","1,142.45","1,148.05","1,148.80","1,147.81","1,534.50","596.00",5975731,"6,859,026,649.55",125400
"03-Jan-2022","EQ","1,115.00","1,151.00","1,115.00","1,111.45","1,150.00","1,142.45","1,129.46","1,534.50","596.00",3865803,"4,366,279,501.50",87982
"31-Dec-2021","EQ","1,105.00","1,123.50","1,102.65","1,101.00","1,112.40","1,111.45","1,115.49","1,534.50","596.00",3687021,"4,112,828,901.10",94613
"30-Dec-2021","EQ","1,117.90","1,127.00","1,099.00","1,116.25","1,101.15","1,101.00","1,110.09","1,534.50","596.00",4114093,"4,567,032,963.05",102093
"29-Dec-2021","EQ","1,120.00","1,126.65","1,108.00","1,127.45","1,115.75","1,116.25","1,115.35","1,534.50","596.00",4193520,"4,677,259,768.65",145576
"28-Dec-2021","EQ","1,127.00","1,131.50","1,122.00","1,121.80","1,127.00","1,127.45","1,127.24","1,534.50","596.00",2880781,"3,247,337,620.30",108720
"27-Dec-2021","EQ","1,111.05","1,124.70","1,102.35","1,115.45","1,124.00","1,121.80","1,114.49","1,534.50","596.00",2758851,"3,074,721,063.10",74732
"24-Dec-2021","EQ","1,130.05","1,133.45","1,103.85","1,127.65","1,117.00","1,115.45","1,115.11","1,534.50","585.00",4093630,"4,564,828,879.60",96182
"23-Dec-2021","EQ","1,138.00","1,146.80","1,120.20","1,128.85","1,126.45","1,127.65","1,134.88","1,534.50","585.00",4621478,"5,244,827,387.00",114823
"22-Dec-2021","EQ","1,115.00","1,131.00","1,110.00","1,105.10","1,130.00","1,128.85","1,123.02","1,534.50","585.00",4366917,"4,904,148,511.60",114115
"21-Dec-2021","EQ","1,090.00","1,124.25","1,085.00","1,072.95","1,108.85","1,105.10","1,109.16","1,534.50","585.00",7026849,"7,793,906,415.10",171193
"20-Dec-2021","EQ","1,117.00","1,117.20","1,066.05","1,132.10","1,073.00","1,072.95","1,082.82","1,534.50","585.00",7352650,"7,961,618,862.30",236252
"17-Dec-2021","EQ","1,154.00","1,158.85","1,125.00","1,153.20","1,131.95","1,132.10","1,136.98","1,534.50","585.00",4743502,"5,393,272,365.20",136063
"16-Dec-2021","EQ","1,164.00","1,168.80","1,143.55","1,154.05","1,156.15","1,153.20","1,157.44","1,534.50","585.00",4246008,"4,914,506,125.40",115354
"15-Dec-2021","EQ","1,170.05","1,175.60","1,149.00","1,167.20","1,150.40","1,154.05","1,163.31","1,534.50","585.00",4430833,"5,154,444,408.55",136268
"14-Dec-2021","EQ","1,158.95","1,177.90","1,147.00","1,165.30","1,165.70","1,167.20","1,164.62","1,534.50","585.00",5352264,"6,233,369,922.20",145202
"13-Dec-2021","EQ","1,188.00","1,199.00","1,161.65","1,180.00","1,167.20","1,165.30","1,180.37","1,534.50","585.00",5353778,"6,319,423,485.45",142697
"10-Dec-2021","EQ","1,173.45","1,188.90","1,167.60","1,176.85","1,178.00","1,180.00","1,178.81","1,534.50","585.00",4812130,"5,672,591,862.10",135427
"09-Dec-2021","EQ","1,182.00","1,182.00","1,159.00","1,173.00","1,177.00","1,176.85","1,170.78","1,534.50","585.00",5212394,"6,102,560,472.70",122011
"08-Dec-2021","EQ","1,159.00","1,177.00","1,149.00","1,148.80","1,174.75","1,173.00","1,166.19","1,534.50","585.00",7448501,"8,686,359,029.45",170954
"07-Dec-2021","EQ","1,121.10","1,155.55","1,121.00","1,108.80","1,152.85","1,148.80","1,140.75","1,534.50","585.00",8505390,"9,702,509,838.55",204352
